year,Australia,Nepal,United States,Syria
2008,6.332842415,58.18672776,1.204093919,8.179419525
2009,48.06417112,51.63204748,40.47033508,42.81062124
2010,53.38020552,48.31811351,50.73853827,40.57326415
2011,61.93527715,42.15080346,61.56978059,32.70763692
2012,70.84901715,10.14388489,61.3716591,50.37528868
2013,73.78836834,36.41641642,59.58314454,51.75128971
2014,75.96656217,43.83501536,64.68956689,70.45947117
2015,76.89554182,4.166666667,61.72462406,18.59649123
2016,78.69565217,4.221388368,60.47562426,9.715812485
2017,75.95846645,4.647478215,66.01082145,50.66724064
2018,74.43056576,5.615036878,67.96996375,16.64015272
2019,77.22816399,7.865685373,67.45012298,51.39109698
2020,93.46357935,75.90963615,93.88961892,72.89386612
2021,94.63224368,68.35715684,78.52283771,68.59725477
2022,95.96638655,60.81386586,96.15096226,66.82218766
